cpus=28
     hello.1.out-987225 [008] 692035.904489: funcgraph_entry:        2.859 us   |  mutex_unlock();
     hello.1.out-987225 [008] 692035.906113: funcgraph_entry:        0.290 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906114: funcgraph_entry:        0.314 us   |  up_read();
     hello.1.out-987225 [008] 692035.906115: funcgraph_entry:        0.283 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906115: funcgraph_entry:        0.293 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906117: funcgraph_entry:        0.604 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906118: funcgraph_entry:        7.734 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906126: funcgraph_entry:        0.295 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906127: funcgraph_entry:        0.309 us   |  up_read();
     hello.1.out-987225 [008] 692035.906127: funcgraph_entry:        0.370 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906128: funcgraph_entry:        0.285 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906131: funcgraph_entry:        0.638 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906132: funcgraph_entry:        3.523 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906135: funcgraph_entry:        0.296 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906136: funcgraph_entry:        0.299 us   |  up_read();
     hello.1.out-987225 [008] 692035.906136: funcgraph_entry:        0.292 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906137: funcgraph_entry:        0.273 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906139: funcgraph_entry:        0.628 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906140: funcgraph_entry:        8.375 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906149: funcgraph_entry:        0.331 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906149: funcgraph_entry:        0.318 us   |  up_read();
     hello.1.out-987225 [008] 692035.906150: funcgraph_entry:        0.296 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906150: funcgraph_entry:        0.358 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906153: funcgraph_entry:        0.833 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906155: funcgraph_entry:      + 11.390 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906166: funcgraph_entry:        0.322 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906167: funcgraph_entry:        0.342 us   |  up_read();
     hello.1.out-987225 [008] 692035.906167: funcgraph_entry:        0.301 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906168: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906170: funcgraph_entry:        0.684 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906171: funcgraph_entry:        7.500 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906190: funcgraph_entry:        0.429 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906191: funcgraph_entry:        0.331 us   |  up_read();
     hello.1.out-987225 [008] 692035.906192: funcgraph_entry:        0.305 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906192: funcgraph_entry:        0.286 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906198: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906198: sys_enter_brk:        brk: 0x00000000
     hello.1.out-987225 [008] 692035.906199: funcgraph_exit:         0.968 us   |  }
     hello.1.out-987225 [008] 692035.906199: funcgraph_entry:        1.254 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906201: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906201: sys_exit_brk:         0x604a45c82000
     hello.1.out-987225 [008] 692035.906202: funcgraph_exit:         0.844 us   |  }
     hello.1.out-987225 [008] 692035.906202: funcgraph_entry:        0.362 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906223: funcgraph_entry:        0.773 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906224: funcgraph_entry:        8.854 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906233: funcgraph_entry:        0.286 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906234: funcgraph_entry:        0.307 us   |  up_read();
     hello.1.out-987225 [008] 692035.906235: funcgraph_entry:        0.327 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906235: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906281: funcgraph_entry:        1.185 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906282: funcgraph_entry:        6.862 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906290: funcgraph_entry:        0.320 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906290: funcgraph_entry:        0.333 us   |  up_read();
     hello.1.out-987225 [008] 692035.906291: funcgraph_entry:        0.303 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906292: funcgraph_entry:        0.292 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906296: funcgraph_entry:        0.664 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906297: funcgraph_entry:        4.215 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906301: funcgraph_entry:        0.279 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906302: funcgraph_entry:        0.311 us   |  up_read();
     hello.1.out-987225 [008] 692035.906302: funcgraph_entry:        0.321 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906303: funcgraph_entry:        0.278 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906307: funcgraph_entry:        0.634 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906307: funcgraph_entry:        4.398 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906312: funcgraph_entry:        0.292 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906313: funcgraph_entry:        0.311 us   |  up_read();
     hello.1.out-987225 [008] 692035.906313: funcgraph_entry:        0.284 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906314: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906317: funcgraph_entry:        0.594 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906318: funcgraph_entry:      + 10.819 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906329: funcgraph_entry:        0.325 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906329: funcgraph_entry:        0.397 us   |  up_read();
     hello.1.out-987225 [008] 692035.906330: funcgraph_entry:        0.313 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906331: funcgraph_entry:        0.286 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906333: funcgraph_entry:        0.831 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906334: funcgraph_entry:        1.919 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906337: funcgraph_entry:        0.795 us   |  lock_mm_and_find_vma();
     hello.1.out-987225 [008] 692035.906338: funcgraph_entry:        3.938 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906342: funcgraph_entry:        0.350 us   |  up_read();
     hello.1.out-987225 [008] 692035.906343: funcgraph_entry:        0.334 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906351: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906351: sys_enter_mmap:       addr: 0x00000000, len: 0x00002000, prot: 0x00000003, flags: 0x00000022, fd: 0xffffffff, off: 0x00000000
     hello.1.out-987225 [008] 692035.906352: funcgraph_exit:         0.964 us   |  }
     hello.1.out-987225 [008] 692035.906352: funcgraph_entry:        9.563 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906362: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906362: sys_exit_mmap:        0x784c53613000
     hello.1.out-987225 [008] 692035.906363: funcgraph_exit:         0.879 us   |  }
     hello.1.out-987225 [008] 692035.906363: funcgraph_entry:        0.333 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906365: funcgraph_entry:        0.836 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906366: funcgraph_entry:      + 10.575 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906377: funcgraph_entry:        0.310 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906378: funcgraph_entry:        0.822 us   |  up_read();
     hello.1.out-987225 [008] 692035.906379: funcgraph_entry:        0.368 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906380: funcgraph_entry:        0.271 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906382: funcgraph_entry:        0.872 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906383: funcgraph_entry:      + 10.080 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906394: funcgraph_entry:        0.322 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906394: funcgraph_entry:        0.368 us   |  up_read();
     hello.1.out-987225 [008] 692035.906395: funcgraph_entry:        0.287 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906396: funcgraph_entry:        0.279 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906398: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906398: sys_enter_access:     filename: 0x784c5364a5b0, mode: 0x00000004
     hello.1.out-987225 [008] 692035.906398: funcgraph_exit:         0.773 us   |  }
     hello.1.out-987225 [008] 692035.906399: funcgraph_entry:        7.326 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906406: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906407: sys_exit_access:      0xfffffffffffffffe
     hello.1.out-987225 [008] 692035.906407: funcgraph_exit:         0.911 us   |  }
     hello.1.out-987225 [008] 692035.906408: funcgraph_entry:        0.266 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906411: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906412: sys_enter_openat:     dfd: 0xffffff9c, filename: 0x784c5364938f, flags: 0x00080000, mode: 0x00000000
     hello.1.out-987225 [008] 692035.906412: funcgraph_exit:         0.696 us   |  }
     hello.1.out-987225 [008] 692035.906412: funcgraph_entry:      + 14.691 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906427: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906428: sys_exit_openat:      0x3
     hello.1.out-987225 [008] 692035.906428: funcgraph_exit:         0.685 us   |  }
     hello.1.out-987225 [008] 692035.906428: funcgraph_entry:        0.294 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906429: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906430: sys_enter_newfstat:   fd: 0x00000003, statbuf: 0x7ffee26080b0
     hello.1.out-987225 [008] 692035.906430: funcgraph_exit:         0.745 us   |  }
     hello.1.out-987225 [008] 692035.906430: funcgraph_entry:        4.425 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906435: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906435: sys_exit_newfstat:    0x0
     hello.1.out-987225 [008] 692035.906436: funcgraph_exit:         0.836 us   |  }
     hello.1.out-987225 [008] 692035.906436: funcgraph_entry:        0.350 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906437: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906437: sys_enter_mmap:       addr: 0x00000000, len: 0x00011d07, prot: 0x00000001, flags: 0x00000002, fd: 0x00000003, off: 0x00000000
     hello.1.out-987225 [008] 692035.906438: funcgraph_exit:         0.608 us   |  }
     hello.1.out-987225 [008] 692035.906438: funcgraph_entry:      + 17.100 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906455: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906456: sys_exit_mmap:        0x784c53601000
     hello.1.out-987225 [008] 692035.906456: funcgraph_exit:         0.867 us   |  }
     hello.1.out-987225 [008] 692035.906457: funcgraph_entry:        0.322 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906458: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906458: sys_enter_close:      fd: 0x00000003
     hello.1.out-987225 [008] 692035.906458: funcgraph_exit:         0.783 us   |  }
     hello.1.out-987225 [008] 692035.906459: funcgraph_entry:        1.651 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906461: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906461: sys_exit_close:       0x0
     hello.1.out-987225 [008] 692035.906461: funcgraph_exit:         0.685 us   |  }
     hello.1.out-987225 [008] 692035.906462: funcgraph_entry:        0.283 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906463: funcgraph_entry:        0.739 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906464: funcgraph_entry:      + 23.386 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906488: funcgraph_entry:        0.289 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906489: funcgraph_entry:        0.380 us   |  up_read();
     hello.1.out-987225 [008] 692035.906489: funcgraph_entry:        0.286 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906490: funcgraph_entry:        0.335 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906494: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906495: sys_enter_openat:     dfd: 0xffffff9c, filename: 0x784c53613140, flags: 0x00080000, mode: 0x00000000
     hello.1.out-987225 [008] 692035.906495: funcgraph_exit:         0.631 us   |  }
     hello.1.out-987225 [008] 692035.906495: funcgraph_entry:      + 14.895 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906510: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906511: sys_exit_openat:      0x3
     hello.1.out-987225 [008] 692035.906511: funcgraph_exit:         0.691 us   |  }
     hello.1.out-987225 [008] 692035.906511: funcgraph_entry:        0.295 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906512: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906513: sys_enter_read:       fd: 0x00000003, buf: 0x7ffee26082e8, count: 0x00000340
     hello.1.out-987225 [008] 692035.906513: funcgraph_exit:         0.808 us   |  }
     hello.1.out-987225 [008] 692035.906513: funcgraph_entry:        5.002 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906519: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906519: sys_exit_read:        0x340
     hello.1.out-987225 [008] 692035.906519: funcgraph_exit:         0.624 us   |  }
     hello.1.out-987225 [008] 692035.906520: funcgraph_entry:        0.272 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906521: funcgraph_entry:        0.904 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906523: funcgraph_entry:        7.061 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906530: funcgraph_entry:        0.285 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906531: funcgraph_entry:        0.299 us   |  up_read();
     hello.1.out-987225 [008] 692035.906532: funcgraph_entry:        0.352 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906533: funcgraph_entry:        0.281 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906534: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906534: sys_enter_pread64:    fd: 0x00000003, buf: 0x7ffee2607f00, count: 0x00000310, pos: 0x00000040
     hello.1.out-987225 [008] 692035.906535: funcgraph_exit:         0.737 us   |  }
     hello.1.out-987225 [008] 692035.906535: funcgraph_entry:        3.316 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906538: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906539: sys_exit_pread64:     0x310
     hello.1.out-987225 [008] 692035.906539: funcgraph_exit:         0.649 us   |  }
     hello.1.out-987225 [008] 692035.906539: funcgraph_entry:        0.270 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906540: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906541: sys_enter_newfstat:   fd: 0x00000003, statbuf: 0x7ffee2608180
     hello.1.out-987225 [008] 692035.906541: funcgraph_exit:         0.633 us   |  }
     hello.1.out-987225 [008] 692035.906541: funcgraph_entry:        2.870 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906544: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906545: sys_exit_newfstat:    0x0
     hello.1.out-987225 [008] 692035.906545: funcgraph_exit:         0.614 us   |  }
     hello.1.out-987225 [008] 692035.906545: funcgraph_entry:        0.287 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906547: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906548: sys_enter_pread64:    fd: 0x00000003, buf: 0x7ffee2607dd0, count: 0x00000310, pos: 0x00000040
     hello.1.out-987225 [008] 692035.906548: funcgraph_exit:         0.623 us   |  }
     hello.1.out-987225 [008] 692035.906548: funcgraph_entry:        3.090 us   |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906552: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906552: sys_exit_pread64:     0x310
     hello.1.out-987225 [008] 692035.906552: funcgraph_exit:         0.621 us   |  }
     hello.1.out-987225 [008] 692035.906553: funcgraph_entry:        0.270 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906554: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906555: sys_enter_mmap:       addr: 0x00000000, len: 0x00211d90, prot: 0x00000001, flags: 0x00000802, fd: 0x00000003, off: 0x00000000
     hello.1.out-987225 [008] 692035.906555: funcgraph_exit:         0.575 us   |  }
     hello.1.out-987225 [008] 692035.906555: funcgraph_entry:      + 15.944 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906571: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906572: sys_exit_mmap:        0x784c53200000
     hello.1.out-987225 [008] 692035.906572: funcgraph_exit:         0.695 us   |  }
     hello.1.out-987225 [008] 692035.906573: funcgraph_entry:        0.310 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906574: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906574: sys_enter_mmap:       addr: 0x784c53228000, len: 0x00188000, prot: 0x00000005, flags: 0x00000812, fd: 0x00000003, off: 0x00028000
     hello.1.out-987225 [008] 692035.906574: funcgraph_exit:         0.670 us   |  }
     hello.1.out-987225 [008] 692035.906574: funcgraph_entry:      + 37.519 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906612: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906613: sys_exit_mmap:        0x784c53228000
     hello.1.out-987225 [008] 692035.906613: funcgraph_exit:         0.702 us   |  }
     hello.1.out-987225 [008] 692035.906613: funcgraph_entry:        0.312 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906614: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906615: sys_enter_mmap:       addr: 0x784c533b0000, len: 0x0004f000, prot: 0x00000001, flags: 0x00000812, fd: 0x00000003, off: 0x001b0000
     hello.1.out-987225 [008] 692035.906615: funcgraph_exit:         0.698 us   |  }
     hello.1.out-987225 [008] 692035.906615: funcgraph_entry:      + 20.441 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906636: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906637: sys_exit_mmap:        0x784c533b0000
     hello.1.out-987225 [008] 692035.906637: funcgraph_exit:         0.694 us   |  }
     hello.1.out-987225 [008] 692035.906637: funcgraph_entry:        0.311 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906638: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906638: sys_enter_mmap:       addr: 0x784c533ff000, len: 0x00006000, prot: 0x00000003, flags: 0x00000812, fd: 0x00000003, off: 0x001fe000
     hello.1.out-987225 [008] 692035.906639: funcgraph_exit:         0.622 us   |  }
     hello.1.out-987225 [008] 692035.906639: funcgraph_entry:      + 25.788 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906665: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906666: sys_exit_mmap:        0x784c533ff000
     hello.1.out-987225 [008] 692035.906666: funcgraph_exit:         0.734 us   |  }
     hello.1.out-987225 [008] 692035.906666: funcgraph_entry:        0.356 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906668: funcgraph_entry:        0.841 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906669: funcgraph_entry:      + 16.325 us  |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906686: funcgraph_entry:        0.318 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906687: funcgraph_entry:        0.321 us   |  up_read();
     hello.1.out-987225 [008] 692035.906687: funcgraph_entry:        0.317 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906688: funcgraph_entry:        0.290 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906689: funcgraph_entry:                   |  syscall_trace_enter() {
     hello.1.out-987225 [008] 692035.906689: sys_enter_mmap:       addr: 0x784c53405000, len: 0x0000cd90, prot: 0x00000003, flags: 0x00000032, fd: 0xffffffff, off: 0x00000000
     hello.1.out-987225 [008] 692035.906690: funcgraph_exit:         0.632 us   |  }
     hello.1.out-987225 [008] 692035.906690: funcgraph_entry:      + 17.028 us  |  x64_sys_call();
     hello.1.out-987225 [008] 692035.906707: funcgraph_entry:                   |  syscall_exit_to_user_mode_prepare() {
     hello.1.out-987225 [008] 692035.906708: sys_exit_mmap:        0x784c53405000
     hello.1.out-987225 [008] 692035.906708: funcgraph_exit:         0.703 us   |  }
     hello.1.out-987225 [008] 692035.906708: funcgraph_entry:        0.321 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906710: funcgraph_entry:        0.682 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906711: funcgraph_entry:        8.684 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906720: funcgraph_entry:        0.308 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906721: funcgraph_entry:        0.314 us   |  up_read();
     hello.1.out-987225 [008] 692035.906722: funcgraph_entry:        0.301 us   |  __rcu_read_unlock();
     hello.1.out-987225 [008] 692035.906722: funcgraph_entry:        0.270 us   |  fpregs_assert_state_consistent();
     hello.1.out-987225 [008] 692035.906725: funcgraph_entry:        0.613 us   |  lock_vma_under_rcu();
     hello.1.out-987225 [008] 692035.906726: funcgraph_entry:        9.557 us   |  handle_mm_fault();
     hello.1.out-987225 [008] 692035.906736: funcgraph_entry:        0.323 us   |  __rcu_read_lock();
     hello.1.out-987225 [008] 692035.906737: funcgraph_entry:        0.334 us   |  up_read();
